index,paris,london,madrid,berlin,milano,barcelona,athinia,roma,birmingham,lisboa,napoli,katowice,manchester,hamburg,budapest,bucuresti,warszawa,stuttgart,wien,münchen,brussels,stockholm,frankfurt am main,köln,kobenhavn,valencia,torino,glasgow,praha,lyon,sofia,liverpool,porto,sevilla,dublin,helsinki,amsterdam,rotterdam,düsseldorf,essen-oberhausen,lille,lodz,marseille,antwerp,bilbao,newcastle,krakow,bochum-herne,thessaloniki,nürnberg,riga,duisburg,dortmund,hannover,zürich,oslo,bremen,dresden,sheffield,palermo,poznan,gelsenkirchen-bottrop,bordeaux,wroclaw,göteborg,zaragoza,genova,catania,den haag,toulouse,bristol,vilnius,saarbrücken,malaga,nantes,leeds,nottingham,firenze,gdansk,leipzig,mannheim,belfast,portsmouth,venezia,edinburgh,murcia,nice,liège,bratislava,leicester,karlsruhe,bergamo,palma de mallorca,bologna,bielefeld,rouen,strasbourg,tallinn,szczecin,grenoble
duisburg,3,2,1,1,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,2,0,2,0,0,0,1,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
dortmund,2,3,2,3,0,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
hannover,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zürich,17,17,5,13,0,4,0,0,2,0,0,2,3,3,1,0,0,2,2,0,1,4,0,0,0,0,0,3,0,0,0,2,0,0,3,2,5,4,1,0,0,0,0,2,1,2,1,0,2,0,0,0,1,0,34,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,1,0,0,0,2,0,2,0,1,0,1,0,0,2,0,0,4,0,0,0
oslo,9,15,2,9,0,5,0,0,3,0,0,1,3,2,3,0,0,0,0,0,2,6,0,0,0,1,0,2,0,1,1,1,0,0,5,6,4,1,2,0,3,0,1,1,1,2,1,0,1,0,1,0,0,0,1,40,1,1,1,0,0,0,4,0,0,0,0,0,0,3,2,1,0,0,1,1,2,0,0,2,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0
bremen,2,9,0,8,0,0,0,1,0,0,0,0,4,9,0,0,0,0,0,0,3,2,0,0,0,1,0,1,0,0,0,1,0,0,2,1,4,0,1,0,2,0,0,1,0,1,0,0,0,0,3,0,0,1,0,1,26,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,1,5,2,1,0
dresden,17,17,3,21,0,2,0,0,2,0,0,0,1,5,4,0,0,3,0,0,2,2,0,0,0,1,0,1,1,0,3,0,2,0,1,2,2,1,3,0,1,0,0,0,0,2,0,0,0,2,2,0,0,0,1,1,0,45,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,8,1,0,0,1,1,0,1,0,1,0,1,1,0,4,0,2,1,1,0,0
sheffield,8,32,4,4,0,2,0,0,12,0,0,0,15,1,1,0,0,1,0,0,0,1,0,0,0,0,0,8,0,3,0,12,1,0,6,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,1,1,1,0,45,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,3,0,0,0,0,4,9,0,10,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0
palermo,12,5,3,5,0,2,0,1,1,0,2,0,1,2,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,3,2,1,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,23,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,3,0,1,2,0,1,0,1,0,3,1,0,0,0
poznan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
