city_A;city_B;POP_A;POP_B;CC_A;CC_B;distance;border_DUM;reg_border;FR_con;FR_int;EN_con;EN_int;CEAST;SOUTH;WEST;NORTH;col_en;col_fr;col_prop_fr;col_prop_en;fr_en_prop;en_fr_prop
Paris;London;9591;8256;FR;UK;342.7198407546638;1;0;1;0;1;0;0;0;1;0;21874.0;10733.0;1.7872382232191104;2.09581377630115;0.8527657578305277;1.1726549651149718
Paris;Madrid;9591;4955;FR;ES;1047.1055206294939;1;1;1;0;0;0;0;1;1;0;3394.0;2404.0;0.4003093905356136;0.3251893552512619;1.2310039799006003;0.8123450584463154
Paris;Berlin;9591;3776;FR;DE;879.8359161720159;1;0;1;0;0;0;0;0;1;0;7899.0;4723.0;0.7864647468800762;0.7568269643870708;1.0391605794820062;0.9623151799103785
Paris;Milan;9591;3698;FR;IT;640.6851614937534;1;1;1;0;0;0;0;1;1;0;3342.0;2713.0;0.4517634677716804;0.3202070787418142;1.4108478474204542;0.7087936532832833
Paris;Barcelona;9591;3659;FR;ES;827.8137779207144;1;1;1;0;0;0;0;1;1;0;2397.0;1696.0;0.2824146116257906;0.2296637844835813;1.2296871805923781;0.8132149507472862
Paris;Athens;9591;3331;FR;GR;2096.025767399245;1;1;1;0;0;0;0;1;1;0;1249.0;957.0;0.15935777318743022;0.11967044923654278;1.3316384638319587;0.7509545775077516
Paris;Rome;9591;2532;FR;IT;1108.9507629766335;1;1;1;0;0;0;0;1;1;0;6821.0;6116.0;1.018424389565646;0.6535405398258273;1.5583186160678917;0.6417172904751032
Paris;Birmingham;9591;2363;FR;UK;501.09555433608364;1;0;1;0;1;0;0;0;1;0;525.0;171.0;0.028474586431609786;0.05030183014346274;0.5660745613111725;1.7665517377847644
Paris;Lisbon;9591;2315;FR;PT;1444.5355010595267;1;1;1;0;0;0;0;1;1;0;1071.0;807.0;0.13438006579128128;0.10261573349266398;1.3095464137659567;0.7636231824149158
Paris;Naples;9591;2308;FR;IT;1293.5638262275543;1;1;1;0;0;0;0;1;1;0;1180.0;979.0;0.16302117027219873;0.11305935156054481;1.4419078830900485;0.6935255793573806
Paris;Katowice;9591;2279;FR;PL;1214.1657669687584;1;1;1;0;0;0;1;0;1;0;58.0;27.0;0.004495987331306808;0.0055571545682301686;0.809044858498273;1.2360254063738476
Paris;Manchester;9591;2207;FR;UK;602.7402785635741;1;0;1;0;1;0;0;0;1;0;972.0;401.0;0.0667737377723715;0.09313024552275385;0.7169930391309571;1.3947136798037343
Paris;Hamburg;9591;2123;FR;DE;746.4175879832528;1;0;1;0;0;0;0;0;1;0;1328.0;792.0;0.13188229505166638;0.12723967701051145;1.0364871881965827;0.9647972607745707
Paris;Budapest;9591;2123;FR;HU;1251.2766816267986;1;1;1;0;0;0;1;0;1;0;1181.0;827.0;0.13771042677743447;0.11315516457034189;1.2170052272941376;0.8216891575916874
Paris;Bucharest;9591;2064;FR;RO;1873.8199324775042;1;1;1;0;0;0;1;0;1;0;916.0;549.0;0.0914184090699051;0.08776471697411783;1.0416305347041084;0.9600333003717731
