index,Paris,Londres,Madrid,Berlin,Milan,Barcelone,Athenes,Rome,Birmingham,Lisbonne,Naples,Katowice,Manchester,Hambourg,Budapest,Bucarest,Varsovie,Stuttgart,Vienne,Munich,Bruxelles,Stockholm,Francfort,Cologne,Copenhague,Valence,Turin,Glasgow,Prague,Lyon,Sofia,Liverpool,Porto,Seville,Dublin,Helsinki,Amsterdam,Rotterdam,Dusseldorf,Essen-Oberhausen,Lille,Lodz,Marseille,Anvers,Bilbao,Newcastle,Cracovie,Bochum-Herne,Thessalonique,Nuremberg,Riga,Duisbourg,Dortmund,Hanovre,Zurich,Oslo,Breme,Dresde,Sheffield,Palerme,Poznan,Gelsenkirchen-Bottrop,Bordeaux,Wroclaw,Goteborg-Gothembourg,Saragosse,Genes,Catane,La Haye,Toulouse,Bristol,Vilnius,Sarrebruck,Malaga,Nantes,Leeds,Nottingham,Florence,Gdansk,Leipzig,Mannheim,Belfast,Portsmouth,Venise,Edimbourg ,Murcie,Nice,Liege,Bratislava,Leicester,Karlsruhe,Bergame,Palma,Bologne,Bielefeld,Rouen,Strasbourg,Tallinn,Szczecin,Grenoble,Bari,Toulon,Brighton,Darmstadt,Wuppertal,Utrecht,Bournemouth,Middlesbrough,Geneve,Bydgoszcz,Bale,Kaunas,Brno,Southampton,Lens,Augsbourg,Padoue,Ostrava,Las Palmas de Grande Canarie,Constanta,Castellammare di Stabia-Torre Annunziata,Stoke,Santa Cruz de Tenerife,Lublin,Cardiff,Iasi,Plovdiv,Bradford,Alicante,Cluj-Napoca,Grenade,Timisoara,Brescia,Galati,Montpellier,Varna,Verone,Busto Arsizio,Valladolid,Eindhoven,Charleroi,Cordoue,La Corogne,Craiova,Caserte,Coventry,Brasov,Bonn,La Valette,Gand,Gdynia
Augsbourg,131.0,48.0,10.0,103.0,21.0,13.0,3.0,102.0,0.0,5.0,10.0,0.0,2.0,27.0,6.0,2.0,11.0,53.0,126.0,280.0,28.0,6.0,83.0,90.0,5.0,5.0,20.0,0.0,35.0,21.0,0.0,1.0,1.0,4.0,2.0,1.0,13.0,4.0,17.0,10.0,3.0,1.0,6.0,27.0,1.0,0.0,8.0,6.0,0.0,157.0,2.0,3.0,27.0,22.0,34.0,0.0,24.0,24.0,0.0,1.0,2.0,3.0,7.0,3.0,0.0,2.0,13.0,0.0,11.0,10.0,0.0,6.0,4.0,10.0,22.0,0.0,2.0,27.0,0.0,54.0,23.0,0.0,0.0,58.0,1.0,0.0,8.0,12.0,4.0,1.0,9.0,0.0,0.0,13.0,3.0,7.0,178.0,0.0,2.0,6.0,1.0,14.0,1.0,15.0,0.0,23.0,0.0,0.0,29.0,1.0,68.0,2.0,2.0,1.0,3.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,2.0,0.0
Padoue,245.0,65.0,35.0,33.0,314.0,13.0,14.0,488.0,0.0,20.0,148.0,0.0,2.0,3.0,16.0,3.0,12.0,6.0,72.0,27.0,28.0,7.0,15.0,17.0,13.0,10.0,122.0,5.0,26.0,30.0,2.0,0.0,12.0,5.0,1.0,0.0,20.0,2.0,2.0,1.0,1.0,1.0,21.0,20.0,0.0,1.0,23.0,1.0,5.0,14.0,0.0,1.0,2.0,4.0,13.0,1.0,1.0,8.0,0.0,34.0,4.0,0.0,7.0,4.0,1.0,1.0,94.0,15.0,4.0,42.0,2.0,6.0,0.0,0.0,5.0,0.0,0.0,248.0,2.0,23.0,3.0,0.0,0.0,955.0,0.0,1.0,8.0,12.0,6.0,2.0,3.0,52.0,6.0,363.0,0.0,8.0,17.0,0.0,0.0,5.0,18.0,7.0,0.0,2.0,1.0,7.0,1.0,0.0,29.0,0.0,44.0,0.0,0.0,0.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,111.0,0.0,32.0,0.0,330.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,6.0,0.0
Ostrava,13.0,24.0,5.0,27.0,4.0,8.0,6.0,17.0,8.0,2.0,3.0,12.0,1.0,1.0,7.0,1.0,5.0,4.0,13.0,6.0,8.0,9.0,2.0,1.0,0.0,2.0,5.0,3.0,800.0,1.0,3.0,1.0,1.0,1.0,0.0,10.0,6.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,4.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,14.0,6.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,28.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,27.0,0.0,5.0,64.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Las Palmas de Grande Canarie,2.0,3.0,8.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constanta,11.0,5.0,1.0,5.0,3.0,1.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0,102.0,1.0,0.0,10.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,22.0,0.0,0.0,1.0,45.0,0.0,20.0,0.0,18.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
Castellammare di Stabia-Torre Annunziata,5.0,2.0,0.0,1.0,4.0,0.0,0.0,12.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
Stoke,14.0,128.0,11.0,2.0,3.0,7.0,1.0,6.0,44.0,2.0,2.0,0.0,113.0,4.0,0.0,0.0,0.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,12.0,1.0,0.0,0.0,61.0,4.0,8.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,30.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,20.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,2.0,0.0,22.0,19.0,1.0,0.0,0.0,0.0,4.0,19.0,0.0,1.0,0.0,1.0,3.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,9.0,11.0,0.0,0.0,4.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Santa Cruz de Tenerife,2.0,4.0,20.0,6.0,0.0,16.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lublin,46.0,25.0,0.0,31.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,14.0,0.0,4.0,4.0,5.0,259.0,2.0,22.0,8.0,6.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,15.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,69.0,6.0,2.0,0.0,0.0,188.0,0.0,1.0,2.0,12.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,50.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,2.0,3.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
Cardiff,52.0,245.0,10.0,15.0,13.0,6.0,4.0,21.0,54.0,4.0,3.0,1.0,116.0,6.0,3.0,0.0,3.0,2.0,7.0,13.0,12.0,10.0,5.0,5.0,5.0,4.0,6.0,67.0,2.0,11.0,0.0,90.0,0.0,3.0,40.0,3.0,13.0,3.0,3.0,1.0,1.0,0.0,15.0,4.0,2.0,60.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,2.0,3.0,0.0,3.0,49.0,0.0,2.0,2.0,34.0,1.0,1.0,1.0,1.0,0.0,2.0,34.0,101.0,0.0,1.0,3.0,31.0,50.0,41.0,2.0,1.0,2.0,1.0,35.0,25.0,6.0,23.0,0.0,7.0,4.0,1.0,88.0,0.0,0.0,0.0,3.0,0.0,6.0,3.0,0.0,0.0,6.0,0.0,23.0,22.0,1.0,0.0,0.0,11.0,18.0,7.0,0.0,9.0,0.0,1.0,34.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,5.0,0.0
Iasi,56.0,7.0,4.0,18.0,5.0,2.0,2.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,199.0,2.0,0.0,24.0,7.0,5.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,71.0,0.0,35.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,14.0,3.0,1.0,0.0,0.0
Plovdiv,21.0,7.0,1.0,7.0,8.0,2.0,9.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,0.0,6.0,0.0,2.0,0.0,3.0,3.0,3.0,1.0,144.0,4.0,1.0,2.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,39.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Bradford,32.0,103.0,2.0,5.0,2.0,4.0,1.0,9.0,29.0,1.0,0.0,0.0,73.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,2.0,2.0,0.0,0.0,1.0,10.0,1.0,5.0,1.0,34.0,0.0,1.0,7.0,1.0,7.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,21.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,20.0,0.0,0.0,1.0,1.0,177.0,16.0,9.0,0.0,0.0,0.0,5.0,8.0,2.0,5.0,0.0,1.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0
Alicante,58.0,29.0,246.0,12.0,14.0,154.0,4.0,10.0,1.0,17.0,20.0,0.0,4.0,5.0,4.0,3.0,6.0,3.0,6.0,3.0,12.0,6.0,7.0,2.0,7.0,262.0,1.0,2.0,5.0,10.0,3.0,2.0,5.0,53.0,5.0,1.0,7.0,1.0,3.0,1.0,2.0,2.0,31.0,2.0,21.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,6.0,3.0,3.0,0.0,1.0,9.0,1.0,0.0,5.0,0.0,3.0,45.0,12.0,0.0,1.0,15.0,0.0,0.0,0.0,73.0,3.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,8.0,0.0,131.0,9.0,2.0,2.0,0.0,1.0,3.0,23.0,5.0,0.0,0.0,3.0,2.0,2.0,1.0,5.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,23.0,0.0,1.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cluj-Napoca,60.0,17.0,9.0,12.0,15.0,2.0,10.0,32.0,0.0,9.0,1.0,0.0,2.0,2.0,88.0,288.0,9.0,9.0,49.0,10.0,17.0,7.0,3.0,3.0,5.0,0.0,6.0,6.0,16.0,7.0,30.0,0.0,10.0,4.0,21.0,2.0,9.0,3.0,1.0,0.0,3.0,0.0,11.0,0.0,4.0,1.0,9.0,0.0,1.0,1.0,19.0,0.0,1.0,2.0,14.0,1.0,0.0,2.0,0.0,0.0,8.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,7.0,0.0,0.0,7.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,3.0,14.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,3.0,6.0,4.0,7.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,12.0,1.0,10.0,0.0,7.0,0.0,7.0,1.0,0.0,4.0,0.0,45.0,0.0,0.0,0.0,3.0,1.0,71.0,4.0,0.0,0.0,0.0,0.0,127.0,0.0,22.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,0.0,0.0,90.0,1.0,0.0,1.0,3.0
Grenade,136.0,69.0,317.0,18.0,24.0,174.0,8.0,48.0,4.0,26.0,36.0,0.0,11.0,8.0,9.0,5.0,6.0,2.0,19.0,7.0,17.0,5.0,0.0,11.0,3.0,151.0,2.0,4.0,8.0,12.0,5.0,3.0,42.0,329.0,2.0,5.0,11.0,2.0,3.0,1.0,2.0,0.0,14.0,4.0,34.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,6.0,1.0,0.0,3.0,3.0,3.0,4.0,0.0,24.0,1.0,1.0,76.0,12.0,1.0,3.0,85.0,0.0,0.0,0.0,217.0,9.0,5.0,0.0,13.0,2.0,3.0,0.0,0.0,2.0,17.0,3.0,91.0,4.0,5.0,1.0,1.0,0.0,1.0,8.0,5.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,63.0,2.0,0.0,283.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Timisoara,25.0,7.0,6.0,5.0,6.0,3.0,1.0,5.0,1.0,3.0,0.0,0.0,2.0,4.0,11.0,141.0,3.0,0.0,29.0,7.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,3.0,5.0,1.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0
Brescia,79.0,31.0,14.0,12.0,328.0,16.0,4.0,223.0,1.0,4.0,67.0,0.0,2.0,2.0,6.0,3.0,3.0,3.0,21.0,5.0,11.0,1.0,8.0,5.0,3.0,0.0,79.0,2.0,7.0,15.0,1.0,0.0,3.0,4.0,0.0,2.0,6.0,1.0,3.0,1.0,2.0,2.0,7.0,5.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,1.0,33.0,3.0,0.0,7.0,0.0,2.0,1.0,62.0,11.0,0.0,6.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,65.0,0.0,3.0,0.0,1.0,0.0,258.0,0.0,0.0,3.0,1.0,5.0,1.0,0.0,200.0,2.0,125.0,1.0,4.0,5.0,0.0,0.0,2.0,26.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,111.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,172.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0
Galati,21.0,3.0,1.0,5.0,2.0,1.0,2.0,5.0,0.0,5.0,4.0,0.0,10.0,1.0,2.0,76.0,3.0,0.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,22.0,0.0,7.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0
Montpellier,3012.0,189.0,86.0,98.0,73.0,236.0,31.0,186.0,4.0,25.0,54.0,1.0,42.0,22.0,20.0,29.0,20.0,13.0,78.0,60.0,142.0,20.0,34.0,23.0,14.0,130.0,44.0,18.0,33.0,1057.0,22.0,18.0,20.0,26.0,10.0,5.0,64.0,50.0,8.0,3.0,517.0,2.0,1168.0,33.0,8.0,13.0,15.0,0.0,5.0,8.0,7.0,1.0,10.0,6.0,45.0,3.0,7.0,15.0,2.0,11.0,0.0,1.0,869.0,3.0,1.0,11.0,31.0,5.0,10.0,1381.0,6.0,1.0,2.0,2.0,571.0,6.0,4.0,54.0,1.0,20.0,6.0,2.0,3.0,45.0,5.0,5.0,505.0,54.0,4.0,11.0,5.0,5.0,2.0,70.0,0.0,243.0,546.0,1.0,0.0,389.0,6.0,301.0,3.0,2.0,0.0,10.0,0.0,0.0,140.0,0.0,45.0,0.0,7.0,9.0,139.0,2.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,2.0,2.0,1.0,2.0,7.0,8.0,5.0,8.0,1.0,0.0,0.0,13.0,0.0,12.0,14.0,13.0,4.0,3.0,1.0,0.0,4.0,0.0,7.0,7.0,21.0,2.0
Varna,65.0,11.0,4.0,13.0,3.0,2.0,9.0,9.0,1.0,2.0,2.0,0.0,1.0,2.0,9.0,6.0,8.0,1.0,13.0,8.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,5.0,3.0,97.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,8.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,0.0,2.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
