id_MUA;Mua;Mua_en;Mua_fr;SizeMUA1k;EU15;Code_Country;NUTS_1;NUTS_2;NUTS_3;X_COORD_first;Y_COORD_first;CountryCode_numeric;id_fua;Fua;id_PUR;PUR;Supra_poly_fua;PIA;Name_supra_poly_fua;Poly_fua;id_poly_fua;Name_poly_fua;SizeHinterland1k;GDP_per_capita;Dummy_Capital
DE00256;Frankfurt am Main;Frankfurt;Francfort;1462;1;DE;DE7;DE71;DE712;-453932;32311;7;DE10175;Frankfurt am Main;DE108;Rhein - Main;0;PIA_Frankfurt-am-Main;99;1;DE07;Rhein - Main;1542;41;0
DE00305;Köln;Cologne;Cologne;1398;1;DE;DEA;DEA2;DEA23;-562833;135460;7;DE10217;Köln;DE110;Rhein - Ruhr;1;PIA_Köln;99;1;DE03;Rhein - Ruhr - Sud;2466;32;0
DK00419;Kobenhavn;Copenhagen;Copenhague;1360;1;DK;DK0;DK01;DK012;-161693;640569;8;DK10303;Kobenhavn;DK103;Öresund;0;PIA_Kobenhavn;99;1;SE01;Öresund metropolitan area;848;48;1
ES00617;Valencia;Valencia;Valence;1318;1;ES;ES5;ES52;ES523;-1318180;-1043833;10;ES10414;Valencia; ; ;0;PIA_Valencia;99;1;ES01;Valencia - Sagunto;80;29;0
IT01278;Torino;Turin;Turin;1309;1;IT;ITC;ITC1;ITC11;-576049;-519720;16;IT10839;Torino; ; ;0;PIA_Torino;99;1;IT06;Torino metropolitan area;200;32;0
UK01846;Glasgow;Glasgow;Glasgow;1228;1;UK;UKD;UKD1;UKD12;-1190856;809245;29;UK11190;Glasgow; ; ;0;PIA_Glasgow;99;0; ; ;40;31;0
CZ00181;Praha;Prague;Prague;1175;0;CZ;CZ0;CZ01;CZ010;-38090;7674;6;CZ10120;Praha; ; ;0;PIA_Praha;99;0; ; ;423;19;1
FR00779;Lyon;Lyon;Lyon;1175;1;FR;FR7;FR71;FR717;-788431;-419014;12;FR10520;Lyon; ; ;0;PIA_Lyon;99;1;FR03;Lyon metropolitan area;394;33;0
BG00075;Sofia;Sofia;Sofia;1174;0;BG;BG4;BG41;BG411;687580;-776610;3;BG10067;Sofia; ; ;0;PIA_Sofia;99;0; ; ;0;7;1
UK01884;Liverpool;Liverpool;Liverpool;1170;1;UK;UKD;UKD2;UKD22;-1178631;521396;29;UK11207;Liverpool - Birkenhead;UK107;Liverpool - Birkenhead;0;PIA_Manchester;99;0; ; ;411;26;0
PT01572;Porto;Porto;Porto;1163;1;PT;PT1;PT11;PT114;-194875383428;-68123046745;24;PT11041;Porto;PT101;Porto-Braga-Guimmaraes;0;PIA_Porto;99;1;PT01;Porto's region;532;13;0
ES00596;Sevilla;Seville;Séville;1082;1;ES;ES6;ES61;ES618;-1841018;-1150322;10;ES10407;Sevilla; ; ;0;PIA_Sevilla;99;1;ES02;Sevilla;98;24;0
IE00953;Dublin;Dublin;Dublin;1070;1;IE;IE0;IE01;IE013;-1390455;582312;15;IE10650;Dublin; ; ;0; ;99;0; ; ;407;52;1
FI00641;Helsinki;Helsinki;Helsinki;1065;1;FI;FI1;FI18;FI181;554744;1173612;11;FI10426;Helsinki; ; ;0;PIA_Helsinki;99;0; ; ;220;44;1
NL01331;Amsterdam;Amsterdam;Amsterdam;1052;1;NL;NL3;NL32;NL326;-685183;310274;21;NL10878;Amsterdam;NL106;Randstad;1;PIA_Amsterdam;99;1;NL04;Randstad Holland Noord;760;48;1
NL01403;Rotterdam;Rotterdam;Rotterdam;1025;1;NL;NL3;NL33;NL335;-729364;266590;21;NL10914;Rotterdam;NL106;Randstad;1;PIA_Amsterdam;99;1;NL01;Randstad Holland Zuid;760;36;0
